postcode,urban_code,grade
CF101AA,C1,1
CF101AB,C1,1
CF101AD,C1,1
CF101AE,C1,1
CF101AF,C1,1
CF101AG,C1,1
CF101AH,C1,1
CF101AJ,C1,1
CF101AL,C1,1
CF101AP,C1,1
CF101AQ,C1,1
CF101AR,C1,2
CF101AS,C1,2
CF101AT,C1,1
CF101AU,C1,1
CF101AW,C1,2
CF101AX,C1,2
CF101AY,C1,2
CF101AZ,C1,2
CF101BA,C1,2
CF101BB,C1,2
CF101BD,C1,2
CF101BE,C1,2
CF101BF,C1,1
CF101BG,C1,2
CF101BH,C1,2
CF101BJ,C1,3
CF101BL,C1,1
CF101BN,C1,1
CF101BP,C1,2
CF101BQ,C1,1
CF101BR,C1,2
CF101BS,C1,2
CF101BT,C1,2
CF101BU,C1,2
CF101BW,C1,2
CF101BX,C1,2
CF101BY,C1,2
CF101BZ,C1,1
CF101DA,C1,2
CF101DB,C1,2
CF101DD,C1,2
CF101DE,C1,2
CF101DF,C1,2
CF101DG,C1,2
CF101DH,C1,2
CF101DJ,C1,2
CF101DL,C1,2
CF101DN,C1,3
CF101DW,C1,1
CF101DX,C1,1
CF101DY,C1,1
CF101DZ,C1,2
CF101EA,C1,2
CF101EB,C1,1
CF101EF,C1,1
CF101EG,C1,1
CF101EH,C1,1
CF101EJ,C1,2
CF101EN,C1,1
CF101EP,C1,1
CF101ER,C1,1
CF101ES,C1,1
CF101ET,C1,1
CF101EU,C1,1
CF101EW,C1,1
CF101EZ,C1,1
CF101FA,C1,1
CF101FD,C1,1
CF101FE,C1,1
CF101FF,C1,1
CF101FG,C1,1
CF101FH,C1,1
CF101FJ,C1,1
CF101FL,C1,1
CF101FN,C1,1
CF101FP,C1,1
CF101FQ,C1,1
CF101FR,C1,1
CF101FS,C1,1
CF101GA,C1,1
CF101GB,C1,1
CF101GD,C1,1
CF101GH,C1,1
CF101GJ,C1,2
CF101GL,C1,2
CF101GN,C1,2
CF101GP,C1,1
CF101GR,C1,1
CF101GS,C1,1
CF101JA,C1,2
CF101JE,C1,1
CF101JL,C1,2
CF101LA,C1,2
CF101LG,C1,2
CF101NL,C1,1
CF101NS,C1,2
CF101NT,C1,1
CF101PL,C1,1
CF101PN,C1,1
CF101PT,C1,2
CF101PU,C1,2
CF101PX,C1,2
CF101QA,C1,2
CF101QR,C1,2
CF101RH,C1,1
CF101SG,C1,2
CF101SH,C1,2
CF101SZ,C1,3
CF101TD,C1,1
CF101TL,C1,1
CF101TT,C1,1
CF101UA,C1,2
CF101UL,C1,2
CF101UP,C1,2
CF101WB,C1,1
CF101XB,C1,2
CF101XD,C1,3
CF101XJ,C1,2
CF101XR,C1,1
CF101XZ,C1,1
CF101YA,C1,2
CF101YG,C1,2
CF101YX,C1,2
CF101ZR,C1,2
CF102AA,C1,1
CF102AF,C1,2
CF102AG,C1,2
CF102AQ,C1,2
CF102AR,C1,2
CF102AS,C1,2
CF102AT,C1,2
CF102BE,C1,2
CF102BG,C1,3
CF102BH,C1,3
CF102BJ,C1,3
CF102BU,C1,2
CF102BW,C1,2
CF102BX,C1,2
CF102BY,C1,2
CF102DB,C1,2
CF102DP,C1,2
CF102DQ,C1,2
CF102DS,C1,2
CF102DW,C1,2
CF102DX,C1,2
CF102DY,C1,2
CF102DZ,C1,2
CF102EE,C1,2
CF102EF,C1,1
CF102EH,C1,1
CF102EJ,C1,1
CF102EL,C1,1
CF102EN,C1,1
CF102EP,C1,1
CF102EQ,C1,1
CF102ER,C1,1
CF102EW,C1,1
CF102EY,C1,2
CF102EZ,C1,2
CF102FE,C1,1
CF102FF,C1,1
CF102FG,C1,1
CF102FH,C1,1
CF102FJ,C1,1
CF102FL,C1,1
CF102FP,C1,1
CF102FQ,C1,1
CF102FR,C1,2
CF102FY,C1,3
CF102GA,C1,2
CF102GB,C1,2
CF102GD,C1,2
